### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0000222	MNXC20	plasma membrane proton-transporting V-type ATPase, V0 domain|plasma membrane hydrogen ion-transporting ATPase V0 domain
go:0000223	MNXC20	plasma membrane proton-transporting V-type ATPase, V1 domain|plasma membrane hydrogen ion-transporting ATPase V1 domain
go:0000228	MNXC6	nuclear chromosome
go:0000229	MNXC3	cytoplasmic chromosome
go:0000230	MNXC1	nuclear mitotic chromosome
go:0000231	MNXC1	cytoplasmic mitotic chromosome
go:0000232	MNXC1	nuclear interphase chromosome
go:0000233	MNXC1	cytoplasmic interphase chromosome
go:0000235	MNXC3	astral microtubule
go:0000242	MNXC3	pericentriolar material
go:0000243	MNXC6	commitment complex
go:0000262	MNXC4	mitochondrial chromosome
go:0000267	MNXC1	cell fraction
go:0000274	MNXC5	mitochondrial proton-transporting ATP synthase, stator stalk
go:0000275	MNXC5	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
go:0000276	MNXC5	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
go:0000299	MNXC1	integral to membrane of membrane fraction
go:0000300	MNXC1	peripheral to membrane of membrane fraction
go:0000306	MNXC10	extrinsic to vacuolar membrane
go:0000307	MNXC1	cyclin-dependent protein kinase holoenzyme complex|CDK holoenzyme
go:0000308	MNXC3	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
go:0000311	MNXC18	plastid large ribosomal subunit
go:0000312	MNXC18	plastid small ribosomal subunit
go:0000313	MNXC1	organellar ribosome
go:0000314	MNXC1	organellar small ribosomal subunit
go:0000315	MNXC1	organellar large ribosomal subunit
go:0000322	MNXC9	storage vacuole
go:0000323	MNXC9	lytic vacuole
go:0000324	MNXC9	fungal-type vacuole|vacuole, cell cycle-correlated morphology
go:0000325	MNXC9	plant-type vacuole|vacuole, cell cycle-independent morphology
go:0000326	MNXC9	protein storage vacuole
go:0000327	MNXC9	lytic vacuole within protein storage vacuole
go:0000328	MNXC9	fungal-type vacuole lumen|lumen of vacuole with cell cycle-correlated morphology
go:0000329	MNXC10	fungal-type vacuole membrane|membrane of vacuole with cell cycle-correlated morphology
go:0000330	MNXC9	plant-type vacuole lumen|lumen of vacuole with cell cycle-independent morphology
go:0000331	MNXC9	contractile vacuole
go:0000333	MNXC6	telomerase catalytic core complex
go:0000343	MNXC18	plastid-encoded plastid RNA polymerase complex A|PEP-A
go:0000344	MNXC18	plastid-encoded plastid RNA polymerase complex B|PEP-B
go:0000345	MNXC3	cytosolic DNA-directed RNA polymerase complex
go:0000346	MNXC6	transcription export complex|TREX complex
go:0000347	MNXC6	THO complex
go:0000399	MNXC1	cellular bud neck septin structure
go:0000407	MNXC3	pre-autophagosomal structure|PAS
go:0000408	MNXC1	EKC/KEOPS complex|Kinase, putative Endopeptidase and Other Proteins of Small size protein complex|Endopeptidase-like Kinase Chromatin-associated protein complex
go:0000417	MNXC6	HIR complex|HIRA complex
go:0000418	MNXC6	DNA-directed RNA polymerase IV complex|DNA-directed RNA polymerase IVa complex
go:0000419	MNXC6	DNA-directed RNA polymerase V complex|DNA-directed RNA polymerase IVb complex
go:0000421	MNXC10	autophagic vacuole membrane|autophagosome membrane
go:0000427	MNXC18	plastid-encoded plastid RNA polymerase complex
go:0000428	MNXC1	DNA-directed RNA polymerase complex
go:0000438	MNXC6	core TFIIH complex portion of holo TFIIH complex
go:0000439	MNXC6	core TFIIH complex
go:0000440	MNXC6	core TFIIH complex portion of NEF3 complex
go:0000441	MNXC1	SSL2-core TFIIH complex
go:0000442	MNXC6	SSL2-core TFIIH complex portion of NEF3 complex
go:0000443	MNXC6	SSL2-core TFIIH complex portion of holo TFIIH complex
go:0000444	MNXC1	MIS12/MIND type complex
go:0000445	MNXC6	THO complex part of transcription export complex|THO complex part of TREX complex
go:0000446	MNXC6	nucleoplasmic THO complex
go:0000500	MNXC6	RNA polymerase I upstream activating factor complex|UAF|RNA polymerase I upstream activation factor complex
go:0000502	MNXC1	proteasome complex
go:0000504	MNXC1	proteasome regulatory particle (sensu Bacteria)
go:0000506	MNXC11	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex|GPI-GnT complex|GPI-N-acetylglucosaminyltransferase complex|GPI-GlcNAc transferase complex
go:0000775	MNXC1	chromosome, centromeric region|chromosome, centric region
go:0000776	MNXC1	kinetochore
go:0000777	MNXC1	condensed chromosome kinetochore
go:0000778	MNXC6	condensed nuclear chromosome kinetochore
go:0000779	MNXC1	condensed chromosome, centromeric region|condensed chromosome, centric region
go:0000780	MNXC6	condensed nuclear chromosome, centromeric region|condensed nuclear chromosome, centric region
go:0000781	MNXC1	chromosome, telomeric region
go:0000782	MNXC1	telomere cap complex
go:0000783	MNXC6	nuclear telomere cap complex
go:0000784	MNXC6	nuclear chromosome, telomeric region|nuclear chromosome, telomere
go:0000785	MNXC1	chromatin
go:0000786	MNXC1	nucleosome
go:0000787	MNXC3	cytoplasmic nucleosome
go:0000788	MNXC6	nuclear nucleosome
go:0000789	MNXC3	cytoplasmic chromatin
go:0000790	MNXC6	nuclear chromatin
go:0000791	MNXC1	euchromatin
go:0000792	MNXC1	heterochromatin
go:0000793	MNXC1	condensed chromosome
go:0000794	MNXC6	condensed nuclear chromosome
go:0000795	MNXC6	synaptonemal complex
go:0000796	MNXC1	condensin complex
go:0000797	MNXC1	condensin core heterodimer
go:0000798	MNXC6	nuclear cohesin complex
go:0000799	MNXC6	nuclear condensin complex
go:0000800	MNXC6	lateral element|axial element
go:0000801	MNXC6	central element
go:0000802	MNXC6	transverse filament
go:0000803	MNXC1	sex chromosome
go:0000804	MNXC1	W chromosome
go:0000805	MNXC1	X chromosome
go:0000806	MNXC1	Y chromosome
go:0000807	MNXC1	Z chromosome
go:0000808	MNXC1	origin recognition complex|origin of replication recognition complex|ORC
go:0000809	MNXC3	cytoplasmic origin of replication recognition complex|cytoplasmic ORC
go:0000811	MNXC6	GINS complex|Go, Ichi, Ni and San complex
go:0000812	MNXC6	Swr1 complex|SWR-C
go:0000813	MNXC1	ESCRT I complex
go:0000814	MNXC1	ESCRT II complex
go:0000815	MNXC1	ESCRT III complex
go:0000817	MNXC6	COMA complex|Ctf19p-Okp1p-Mcm1p-Ame1p complex
go:0000818	MNXC6	nuclear MIS12/MIND type complex|MIND complex|Mtw1p Including Nnf1p-Nsl1p-Dsn1p complex
go:0000835	MNXC12	ER ubiquitin ligase complex
go:0000836	MNXC12	Hrd1p ubiquitin ligase complex
go:0000837	MNXC12	Doa10p ubiquitin ligase complex|Ssm4p ubiquitin ligase complex
go:0000838	MNXC12	Hrd1p ubiquitin ligase ERAD-M complex
go:0000839	MNXC12	Hrd1p ubiquitin ligase ERAD-L complex
go:0000922	MNXC1	spindle pole
go:0000923	MNXC3	equatorial microtubule organizing center|EMTOC|equatorial microtubule organising centre
go:0000924	MNXC3	gamma-tubulin ring complex, centrosomal|gamma-tubulin large complex, centrosomal
go:0000927	MNXC3	gamma-tubulin small complex, centrosomal
go:0000928	MNXC3	gamma-tubulin small complex, spindle pole body|Tub4 complex
go:0000930	MNXC3	gamma-tubulin complex
go:0000931	MNXC3	gamma-tubulin large complex
go:0000932	MNXC3	cytoplasmic mRNA processing body|P-body|P body
go:0000933	MNXC1	adventitious septum
go:0000934	MNXC1	porous cell septum
go:0000935	MNXC1	barrier septum|complete septum
go:0000936	MNXC1	primary cell septum
go:0000937	MNXC1	dolipore septum
go:0000938	MNXC15	GARP complex|Golgi associated retrograde protein complex|Vps fifty three tethering complex|VFT tethering complex
go:0000939	MNXC1	condensed chromosome inner kinetochore|inner kinetochore of condensed chromosome
go:0000940	MNXC1	condensed chromosome outer kinetochore|outer kinetochore of condensed chromosome
go:0000941	MNXC6	condensed nuclear chromosome inner kinetochore|inner kinetochore of condensed nuclear chromosome
go:0000942	MNXC6	condensed nuclear chromosome outer kinetochore|outer kinetochore of condensed nuclear chromosome
go:0000943	MNXC6	retrotransposon nucleocapsid|VLP|Virus-like particle
go:0000974	MNXC1	Prp19 complex
go:0001114	MNXC1	protein-DNA-RNA complex
go:0001400	MNXC1	mating projection base
go:0001401	MNXC5	mitochondrial sorting and assembly machinery complex|SAM complex|TOB complex
go:0001405	MNXC5	presequence translocase-associated import motor|pre-sequence translocase-associated import motor|PAM complex|mitochondrial import motor
go:0001411	MNXC1	hyphal tip
go:0001518	MNXC20	voltage-gated sodium channel complex|voltage-sensitive sodium channel complex|voltage gated sodium channel complex|voltage-dependent sodium channel complex
go:0001520	MNXC1	outer dense fiber|outer dense fibre
go:0001527	MNXC1	microfibril|extended fibrils
